plot_id,tree_id,XTOP,YTOP,ZTOP,set_id
188,16,449992.18,5350879.13,9.93,LMF_002
188,19,449996.74,5350890.76,7.56,LMF_002
188,20,449992.07,5350883.72,9.78,LMF_002
188,21,449993,5350886.94,9.43,LMF_002
188,22,449994.67,5350886.65,9.06,LMF_002
188,23,449995.8,5350889.08,9.78,LMF_002
188,24,449998.22,5350888.25,9.36,LMF_002
188,25,449999.8,5350889.69,9.59,LMF_002
188,28,449993.63,5350897.89,7.52,LMF_002
188,29,449998.52,5350893.32,8.9,LMF_002
188,30,449999.91,5350893.94,7.29,LMF_002
188,31,449998.3,5350895.12,7.82,LMF_002
188,32,449997.6,5350900.69,8.2,LMF_002
188,36,449989.3,5350895.72,14.87,LMF_002
188,49,449991.1,5350881,8.61,LMF_002
188,50,449996.73,5350876.53,10.64,LMF_002
188,55,449998.11,5350877.22,10.16,LMF_002
188,56,449999.15,5350878.61,9.93,LMF_002
188,57,449988.9,5350882.52,9.17,LMF_002
188,58,449990.99,5350883.64,9.23,LMF_002
188,60,449993.94,5350886.06,9.02,LMF_002
188,61,449993.89,5350881.95,11.17,LMF_002
188,62,449987.87,5350886.86,10.61,LMF_002
188,63,449990.99,5350890.73,8.89,LMF_002
188,64,449988.46,5350888.57,12.83,LMF_002
188,65,449988.57,5350889.91,13.18,LMF_002
188,66,449998.28,5350885.74,8.12,LMF_002
188,67,449998.7,5350891.44,7.53,LMF_002
188,68,449991.83,5350891.72,8.72,LMF_002
188,69,449993.89,5350891.77,9.83,LMF_002
188,70,449994.83,5350896.63,8.67,LMF_002
188,74,449991.77,5350897.29,9.15,LMF_002
188,80,449999.71,5350891.73,7.07,LMF_002
188,82,449998.28,5350898.31,7.73,LMF_002
188,83,449997.52,5350896.75,9.34,LMF_002
188,93,450004.46,5350885.52,10.24,LMF_002
188,94,450005.4,5350884.67,10.47,LMF_002
188,95,450002.18,5350887.99,9.52,LMF_002
188,98,450007.64,5350884.5,10.38,LMF_002
188,99,450008.81,5350883.95,10.62,LMF_002
188,100,450007.47,5350885.86,10.67,LMF_002
188,102,450008.69,5350888.7,8.36,LMF_002
188,103,450007.35,5350890.41,7.2,LMF_002
188,112,450000.12,5350895.07,7.18,LMF_002
188,114,450004.8,5350897.42,8.97,LMF_002
188,118,450007.54,5350892,8.89,LMF_002
188,127,450001.29,5350879.8,9.65,LMF_002
188,128,450000.62,5350880.66,9.8,LMF_002
188,129,450001.24,5350888.31,9.4,LMF_002
188,131,450001.32,5350890.41,8.75,LMF_002
188,132,450000.04,5350888.28,10.19,LMF_002
188,133,450003.8,5350887.89,9.5,LMF_002
188,134,450005.17,5350887.15,8.81,LMF_002
188,135,450002.81,5350890.12,8.95,LMF_002
188,136,450000.65,5350887.1,12.95,LMF_002
188,142,450010.3,5350886.22,8.59,LMF_002
188,143,450009.59,5350883.83,11.06,LMF_002
188,145,450010.72,5350887.89,8.97,LMF_002
188,151,450002.67,5350893,7.57,LMF_002
188,152,450003.82,5350892.87,8.24,LMF_002
188,153,450004.21,5350893.55,8.37,LMF_002
188,154,450006.75,5350892.09,8.79,LMF_002
188,155,450005.1,5350891.72,9.51,LMF_002
188,156,450005.29,5350893.02,9.47,LMF_002
188,157,450003.53,5350896.25,11.1,LMF_002
188,158,450005.67,5350895.83,11.55,LMF_002
188,164,450002.75,5350898.05,14.75,LMF_002
191,7,459024.91,5355308.82,6.38,LMF_002
191,8,459027.6,5355307.72,7.54,LMF_002
191,13,459033.28,5355313.87,10.3,LMF_002
191,14,459037.3,5355312.07,7.11,LMF_002
191,23,459025.24,5355318.76,9.29,LMF_002
191,25,459032,5355317.03,7.88,LMF_002
191,26,459037.17,5355319.63,7.29,LMF_002
191,27,459033.18,5355321.46,8.65,LMF_002
191,31,459025.89,5355328.72,10.76,LMF_002
191,41,459027.54,5355314.49,14.12,LMF_002
191,42,459027.55,5355310.38,15.58,LMF_002
191,45,459042.96,5355312.13,13.21,LMF_002
191,47,459044.82,5355313.28,14.33,LMF_002
191,73,459022.46,5355318.55,9.41,LMF_002
191,74,459025.51,5355319.8,8.44,LMF_002
191,75,459032.36,5355317.92,8.35,LMF_002
191,76,459029.66,5355320.67,10.82,LMF_002
191,77,459033.35,5355322.88,10.55,LMF_002
191,78,459037.87,5355325.33,7.55,LMF_002
191,79,459038.26,5355322.43,10.66,LMF_002
191,81,459029.49,5355328.79,7.4,LMF_002
191,82,459043.55,5355317.95,11.81,LMF_002
191,90,459025.78,5355314.18,16.6,LMF_002
191,92,459032.03,5355309.72,12.74,LMF_002
191,94,459033.15,5355311.55,14.98,LMF_002
191,96,459035.85,5355314.82,16.08,LMF_002
191,98,459042.12,5355313.46,15.14,LMF_002
191,103,459028.22,5355317.89,12.87,LMF_002
191,104,459022.26,5355320.6,14.54,LMF_002
191,105,459024.55,5355321.72,13.91,LMF_002
191,107,459030.37,5355324.47,14.25,LMF_002
191,108,459034.62,5355324.68,15.85,LMF_002
191,109,459037.47,5355323.29,14.54,LMF_002
191,111,459027.34,5355325.86,17.78,LMF_002
191,112,459033.98,5355327.99,13.24,LMF_002
191,113,459037.46,5355328.57,14.25,LMF_002
191,117,459040.37,5355318.17,16.54,LMF_002
191,119,459039.69,5355321.58,13.69,LMF_002
191,120,459041.44,5355321.15,12.09,LMF_002
198,9,458611.5,5354279.13,9.75,LMF_002
198,14,458597.26,5354264.68,11.15,LMF_002
198,18,458612.89,5354263.77,11.66,LMF_002
198,19,458611.11,5354264.15,16.4,LMF_002
198,24,458598.44,5354278.3,17.83,LMF_002
198,26,458606.93,5354282.33,13.29,LMF_002
198,32,458608.79,5354279.69,12.52,LMF_002
198,36,458610.51,5354281.95,13.45,LMF_002
198,37,458608.79,5354281.46,14.57,LMF_002
198,40,458600.79,5354259.07,10.3,LMF_002
198,45,458604.83,5354260.45,10.73,LMF_002
198,46,458606.96,5354260.89,10.24,LMF_002
198,47,458608.12,5354265.59,10.65,LMF_002
198,51,458597.37,5354273.01,9.53,LMF_002
198,52,458610.59,5354273.87,10.45,LMF_002
198,53,458617.09,5354274.52,9.27,LMF_002
198,54,458610.4,5354279.13,8.84,LMF_002
198,55,458610.82,5354279.82,8.78,LMF_002
198,56,458612.35,5354279.06,9.55,LMF_002
198,63,458606.34,5354258.4,11.88,LMF_002
198,65,458598.21,5354266.24,12.31,LMF_002
198,67,458596.55,5354269.03,16.11,LMF_002
198,68,458607.28,5354263.14,12.88,LMF_002
198,69,458606.51,5354268.99,14.69,LMF_002
198,70,458604.83,5354270.48,17.5,LMF_002
198,73,458609.16,5354266.88,11.04,LMF_002
198,74,458616.15,5354267.31,12.09,LMF_002
198,76,458610.59,5354270.21,20.89,LMF_002
198,78,458605.21,5354277.48,12.16,LMF_002
198,79,458607.83,5354277.58,12.57,LMF_002
198,80,458607.52,5354278.37,12.7,LMF_002
198,81,458601.73,5354277.93,18.55,LMF_002
198,89,458611.64,5354277.42,10.96,LMF_002
198,95,458613.69,5354275.55,9.18,LMF_002
198,99,458596.01,5354271.91,11.25,LMF_002
198,100,458598.02,5354275.64,11.73,LMF_002
198,101,458601.96,5354272.78,12.31,LMF_002
198,102,458599.2,5354273.71,12.21,LMF_002
198,103,458607.34,5354273.47,11.8,LMF_002
198,104,458610.41,5354275.6,12.06,LMF_002
198,108,458599.66,5354263.6,8.47,LMF_002
198,117,458600.48,5354268.95,11.23,LMF_002
198,118,458606.16,5354266.96,15.32,LMF_002
198,119,458606.39,5354268.13,14.77,LMF_002
198,120,458607.54,5354269.53,13.66,LMF_002
198,121,458602.78,5354262.3,19.23,LMF_002
198,125,458612.61,5354264.96,11.76,LMF_002
198,126,458615.97,5354266.45,11.99,LMF_002
198,127,458616.5,5354265.72,11.94,LMF_002
198,128,458612.22,5354268.79,19.48,LMF_002
201,3,452342.16,5366476.25,10.94,LMF_002
201,8,452338.2,5366480.8,12.85,LMF_002
201,9,452338.05,5366479.55,13.87,LMF_002
201,10,452335.63,5366486.08,12.54,LMF_002
201,11,452340.25,5366485.59,11.65,LMF_002
201,14,452341.53,5366487.67,12.14,LMF_002
201,15,452339.64,5366492.03,13.36,LMF_002
201,16,452340.04,5366493.29,14.14,LMF_002
201,19,452352.99,5366486.09,10.71,LMF_002
201,22,452350.08,5366487.49,11.92,LMF_002
201,23,452346.85,5366491.64,14.05,LMF_002
201,25,452350.53,5366492.91,11.79,LMF_002
201,29,452336.07,5366498.81,11.87,LMF_002
201,30,452338.88,5366498.35,14.27,LMF_002
201,45,452334.61,5366479.16,10.71,LMF_002
201,47,452337.46,5366476.86,13.47,LMF_002
201,50,452331.61,5366487.18,12.28,LMF_002
201,51,452333.11,5366487.52,12.98,LMF_002
201,52,452334.3,5366487.06,11.6,LMF_002
201,53,452332.31,5366494.43,11.51,LMF_002
201,54,452335.93,5366492.72,11.87,LMF_002
201,56,452345.02,5366484.63,10.13,LMF_002
201,58,452344.68,5366479.56,12.25,LMF_002
201,60,452350.21,5366482.95,12.75,LMF_002
201,61,452350.17,5366486.2,11.84,LMF_002
201,62,452348.93,5366482.53,13.87,LMF_002
201,63,452347.46,5366483.59,14.36,LMF_002
201,64,452348.58,5366483.59,13.64,LMF_002
201,67,452342.78,5366495.41,8.45,LMF_002
201,68,452346.23,5366490.55,14.04,LMF_002
201,69,452347.41,5366487.14,12.59,LMF_002
201,71,452342.89,5366493.91,10.83,LMF_002
201,72,452344.03,5366492.9,12.45,LMF_002
201,73,452346.61,5366493.36,11.35,LMF_002
201,74,452346.64,5366494.81,11.87,LMF_002
201,75,452348.05,5366494.47,12.39,LMF_002
201,80,452340.7,5366498.2,16.02,LMF_002
201,89,452331.27,5366479.24,10.1,LMF_002
201,91,452330.45,5366481.78,12.5,LMF_002
201,93,452330.98,5366485.16,13.05,LMF_002
201,96,452340.69,5366479.12,10.45,LMF_002
201,97,452340.79,5366482.41,9.48,LMF_002
201,98,452331.96,5366478.33,10.79,LMF_002
201,100,452334.13,5366481.61,12.84,LMF_002
201,101,452335.56,5366480.87,12.43,LMF_002
201,102,452335.31,5366477.73,13.68,LMF_002
201,103,452336.68,5366481.77,11.79,LMF_002
201,105,452335.03,5366484.58,13.85,LMF_002
201,106,452339.36,5366486.92,12.43,LMF_002
201,107,452338.15,5366483.7,15.64,LMF_002
201,109,452331.07,5366491.82,13.28,LMF_002
201,112,452332.31,5366493.16,12.31,LMF_002
201,113,452333.18,5366492.54,12.56,LMF_002
201,114,452333.05,5366496.13,12.5,LMF_002
201,115,452335.14,5366494.78,14.83,LMF_002
201,116,452336.93,5366494.87,11.69,LMF_002
201,119,452345.05,5366477.49,11.96,LMF_002
201,122,452347.42,5366479.79,12.13,LMF_002
201,123,452350.11,5366481.15,12.71,LMF_002
201,124,452342.3,5366482.54,12.53,LMF_002
201,125,452341.83,5366485.37,12.35,LMF_002
201,126,452348.84,5366486.71,12.27,LMF_002
201,130,452344.42,5366487.5,10.17,LMF_002
201,131,452342.14,5366491.05,12.56,LMF_002
201,132,452346.45,5366489.05,14.2,LMF_002
201,133,452351.84,5366490.03,14.88,LMF_002
201,134,452346.68,5366497.12,12.32,LMF_002
201,135,452348.05,5366496.92,12.49,LMF_002
201,136,452349.69,5366494.57,13.29,LMF_002
201,144,452346.79,5366498.54,11.51,LMF_002
201,146,452344.1,5366498.32,14.04,LMF_002
211,7,408653.27,5337367.7,14.77,LMF_002
211,8,408655.06,5337368.72,14.24,LMF_002
211,15,408661.47,5337366.22,14.71,LMF_002
211,16,408660.61,5337372.62,10.62,LMF_002
211,18,408658.97,5337371.27,14.71,LMF_002
211,23,408657.02,5337377.37,12.57,LMF_002
211,25,408664.48,5337376.51,12.95,LMF_002
211,26,408664.48,5337377.28,13.2,LMF_002
211,27,408664.52,5337382.65,12.32,LMF_002
211,32,408654.9,5337363.5,14.24,LMF_002
211,39,408656.01,5337367.21,13.72,LMF_002
211,40,408654.87,5337370.52,14.96,LMF_002
211,42,408659.83,5337364.65,7.8,LMF_002
211,43,408665.57,5337374.56,8.55,LMF_002
211,46,408661.89,5337366.88,14.79,LMF_002
211,47,408665.64,5337370.63,14.59,LMF_002
211,48,408669.15,5337365.76,12.59,LMF_002
211,49,408672.01,5337368.7,12.22,LMF_002
211,51,408669.11,5337373.77,12.38,LMF_002
211,57,408649.15,5337375.06,13.85,LMF_002
211,58,408656.48,5337376.61,11.52,LMF_002
211,59,408655.27,5337378.37,15.37,LMF_002
211,60,408657.89,5337379.83,13.58,LMF_002
211,67,408660.66,5337378.89,12.55,LMF_002
211,68,408659.54,5337376.46,14.42,LMF_002
211,69,408663.87,5337375.51,11.69,LMF_002
211,70,408664.93,5337377.93,13.22,LMF_002
211,71,408666.1,5337381.65,12.26,LMF_002
211,72,408663.81,5337380.1,16.17,LMF_002
211,74,408669.99,5337381.21,14.85,LMF_002
211,75,408668.65,5337381.17,17.32,LMF_002
211,84,408656.73,5337365.04,14.5,LMF_002
211,85,408649.07,5337372.57,10.5,LMF_002
211,89,408651.94,5337371.76,15.73,LMF_002
211,93,408668,5337367.3,12.67,LMF_002
211,94,408661.45,5337370.46,14.78,LMF_002
211,95,408664.59,5337372.02,12.52,LMF_002
211,96,408663.63,5337374,12.51,LMF_002
211,97,408663.33,5337369.42,17.11,LMF_002
211,98,408669.17,5337368.77,13.17,LMF_002
211,100,408669.75,5337372.47,13.32,LMF_002
211,102,408652.13,5337377.21,15.48,LMF_002
211,106,408667.62,5337374.75,8.81,LMF_002
211,107,408667.19,5337377.76,13.76,LMF_002
211,112,408671.25,5337375.79,21.37,LMF_002
242,10,475517.62,5347972.98,16.25,LMF_002
242,19,475514.25,5347974.54,15.87,LMF_002
242,20,475508.95,5347978.82,15.71,LMF_002
242,21,475511.64,5347982.95,16.27,LMF_002
242,22,475517.97,5347976.86,13.69,LMF_002
242,23,475518.72,5347976.73,13.75,LMF_002
242,25,475522.65,5347977.43,15.17,LMF_002
242,27,475514.63,5347980.56,17.09,LMF_002
242,28,475513.28,5347981.9,19.86,LMF_002
242,29,475518.82,5347980.02,17.41,LMF_002
242,30,475518.37,5347981.14,16.86,LMF_002
242,31,475519.06,5347983.26,17.78,LMF_002
242,32,475522.15,5347979.85,17.7,LMF_002
242,33,475520.56,5347981.1,20.48,LMF_002
242,40,475526.64,5347980.27,17.62,LMF_002
242,45,475512.43,5347984.19,15.59,LMF_002
242,46,475517.75,5347983.77,16.49,LMF_002
242,47,475520.45,5347990.7,16.41,LMF_002
242,48,475511.29,5347987.19,17.05,LMF_002
242,49,475513.78,5347986.03,19.16,LMF_002
242,50,475519.49,5347984.91,18.18,LMF_002
242,51,475520.85,5347983.94,18.8,LMF_002
242,55,475521.45,5347992.16,16.78,LMF_002
242,59,475515.51,5347994.86,20.39,LMF_002
242,67,475525.22,5347989.19,19.25,LMF_002
242,76,475514.26,5347971.96,12.56,LMF_002
242,86,475508.99,5347980.81,13.52,LMF_002
242,87,475508.33,5347982.76,15.49,LMF_002
242,90,475517.2,5347975.74,15.11,LMF_002
242,91,475516.18,5347976.56,16.44,LMF_002
242,92,475520.65,5347976.07,16.76,LMF_002
242,93,475521.62,5347977.06,16.37,LMF_002
242,94,475517.93,5347979.73,15.97,LMF_002
242,95,475516.05,5347981.22,15.79,LMF_002
242,96,475524.63,5347979.23,16.09,LMF_002
242,97,475525.02,5347980.98,16.61,LMF_002
242,100,475521.98,5347983.23,18.56,LMF_002
242,104,475525.51,5347973.99,15.07,LMF_002
242,105,475526.16,5347975.69,16.01,LMF_002
242,109,475525.32,5347978.01,19.04,LMF_002
242,115,475508.8,5347984.27,14.63,LMF_002
242,116,475509.21,5347985.99,15.59,LMF_002
242,122,475524.44,5347986.64,15.21,LMF_002
242,123,475519.64,5347988.93,16.58,LMF_002
242,124,475518.87,5347991.43,14.3,LMF_002
242,129,475514.86,5347992.05,18.36,LMF_002
242,130,475510.71,5347989.18,19.81,LMF_002
242,131,475514.82,5347990.24,20.21,LMF_002
242,132,475514.95,5347984.14,21.69,LMF_002
242,133,475516.37,5347987.27,19.47,LMF_002
242,134,475514.89,5347988.13,21.59,LMF_002
242,135,475523.85,5347984.6,19.48,LMF_002
242,136,475521.89,5347986.89,19.16,LMF_002
242,147,475529.94,5347983.77,15.91,LMF_002
242,152,475527.65,5347987.84,21.17,LMF_002
242,153,475528.46,5347988.13,21.19,LMF_002
264,13,432420.91,5342096.71,20.59,LMF_002
264,14,432416.85,5342100.92,19.33,LMF_002
264,16,432416.41,5342103.87,19.95,LMF_002
264,17,432420.54,5342101.26,21.67,LMF_002
264,19,432429.21,5342103.65,19.95,LMF_002
264,22,432424.39,5342114.16,16.65,LMF_002
264,23,432426.14,5342114.4,17.07,LMF_002
264,26,432429.96,5342116.64,17.55,LMF_002
264,27,432429.75,5342118.03,16.85,LMF_002
264,35,432415.84,5342110.62,19.01,LMF_002
264,36,432422.7,5342108.06,18.38,LMF_002
264,37,432421.25,5342109.5,18.43,LMF_002
264,38,432420.27,5342108.68,18.88,LMF_002
264,39,432417.16,5342112.93,18.43,LMF_002
264,40,432417.59,5342111.76,18.22,LMF_002
264,42,432421.2,5342113.36,18.25,LMF_002
264,43,432426.83,5342107.11,19.37,LMF_002
264,46,432425.44,5342111.16,17.88,LMF_002
264,47,432428.41,5342111.55,19.3,LMF_002
264,50,432432.13,5342111.37,19.73,LMF_002
264,51,432431.64,5342114.03,20.81,LMF_002
264,57,432427.78,5342116.36,19.34,LMF_002
264,67,432414.54,5342110.28,19.2,LMF_002
264,70,432424.88,5342103.63,16.47,LMF_002
264,83,432417.78,5342099.41,19.24,LMF_002
264,85,432416.65,5342102.03,19.35,LMF_002
264,87,432420.52,5342103.98,18.73,LMF_002
264,88,432422.01,5342101.66,20.22,LMF_002
264,89,432420.4,5342105.56,20.3,LMF_002
264,90,432424.9,5342095.94,23.96,LMF_002
264,92,432432.94,5342103.45,19.28,LMF_002
264,93,432434.16,5342104.63,19.94,LMF_002
264,97,432436.59,5342104.77,21.51,LMF_002
264,98,432424.22,5342110.24,17.57,LMF_002
264,99,432416.22,5342105.99,21.37,LMF_002
264,100,432417.83,5342109.66,19.81,LMF_002
264,101,432421.29,5342106.95,18.74,LMF_002
264,102,432423.73,5342107.81,19.46,LMF_002
264,103,432427.04,5342108.12,19.28,LMF_002
264,104,432428.61,5342105.78,19.18,LMF_002
264,105,432428.66,5342107.71,19.25,LMF_002
264,106,432427.3,5342109.12,18.69,LMF_002
264,107,432425.44,5342106.25,20.51,LMF_002
264,108,432432.88,5342106.09,20.39,LMF_002
264,109,432434.66,5342107.75,20.25,LMF_002
264,110,432430.63,5342110.62,18.2,LMF_002
264,111,432433.02,5342109.4,20.68,LMF_002
264,112,432435.54,5342105.99,20.33,LMF_002
264,129,432426.98,5342097.27,21.99,LMF_002
264,130,432428.33,5342101.52,19.92,LMF_002
264,131,432428.86,5342102.36,20.19,LMF_002
264,132,432431.39,5342103.53,20.31,LMF_002
264,133,432434.52,5342103.39,19.58,LMF_002
264,136,432419.61,5342111.79,16.77,LMF_002
264,138,432426.74,5342112.91,17.03,LMF_002
264,139,432427.49,5342114.21,17.24,LMF_002
264,140,432433.96,5342114.61,17.27,LMF_002
264,143,432422.45,5342119.21,16.73,LMF_002
264,153,432420.25,5342109.51,19.32,LMF_002
264,154,432418.33,5342113.27,17.49,LMF_002
264,156,432418.49,5342114.83,18.02,LMF_002
264,157,432419.24,5342115.46,17.96,LMF_002
264,158,432421.62,5342111.11,18.16,LMF_002
264,160,432422.47,5342115.37,19,LMF_002
264,161,432427.75,5342105.95,19.18,LMF_002
264,163,432430.19,5342108.9,17.78,LMF_002
264,164,432432.92,5342112.54,20.62,LMF_002
264,167,432428.8,5342116.3,18.49,LMF_002
358,5,426280.51,5321202.43,8.97,LMF_002
358,8,426276.41,5321204.84,10.25,LMF_002
358,10,426287.1,5321199.97,8.93,LMF_002
358,11,426288.92,5321198.97,10.76,LMF_002
358,12,426288.85,5321200.22,10.46,LMF_002
358,13,426281.02,5321204.68,10.53,LMF_002
